Time [s],Channel 0,Channel 1,Channel 2,Channel 3
13.102469333,1,0,0,0
13.102950250,0,0,0,0
13.103588417,1,0,0,0
13.104074417,0,0,0,0
13.104707417,1,0,0,0
13.105198583,0,0,0,0
13.105837167,1,0,0,0
13.107446250,0,0,0,0
13.108086083,1,0,0,0
13.109693917,0,0,0,0
13.110335083,1,0,0,0
13.111941500,0,0,0,0
13.112583917,1,0,0,0
13.114189250,0,0,0,0
13.114822167,1,0,0,0
13.116437500,0,0,0,0
13.117071083,1,0,0,0
13.156843667,0,0,0,0
13.165882500,1,0,0,0
13.168068833,0,0,0,0
13.168707167,1,0,0,0
13.264555500,0,0,0,0
13.273598917,1,0,0,0
13.275780333,0,0,0,0
13.276423667,1,0,0,0
13.372268000,0,0,0,0
13.381275250,1,0,0,0
13.383492833,0,0,0,0
13.384100083,1,0,0,0
14.192752167,0,0,0,0
14.201761250,1,0,0,0
14.206220000,0,0,0,0
14.206856750,1,0,0,0
14.207344000,0,0,0,0
14.207986667,1,0,0,0
14.208468250,0,0,0,0
14.209073250,1,0,0,0
14.209592417,0,0,0,0
14.210235667,1,0,0,0
14.210716500,0,0,0,0
14.211354833,1,0,0,0
14.211840667,0,0,0,0
14.212452167,1,0,0,0
14.212964833,0,0,0,0
14.213603833,1,0,0,0
14.215212500,0,0,0,0
14.215820167,1,0,0,0
14.216337333,0,0,0,0
14.216971833,1,0,0,0
14.218585000,0,0,0,0
14.219220750,1,0,0,0
14.220832667,0,0,0,0
14.221469917,1,0,0,0
14.223080333,0,0,0,0
14.223719000,1,0,0,0
14.225328000,0,0,0,0
14.225968000,1,0,0,0
14.227575667,0,0,0,0
14.228216917,1,0,0,0
14.229823333,0,0,0,0
14.230465750,1,0,0,0
14.230947500,0,0,0,0
14.231552333,1,0,0,0
14.233195500,0,0,0,0
14.233801250,1,0,0,0
14.234319667,0,0,0,0
14.234931250,1,0,0,0
14.235443833,0,0,0,0
14.236082750,1,0,0,0
14.236568000,0,0,0,0
14.237180167,1,0,0,0
14.238815583,0,0,0,0
14.239429083,1,0,0,0
14.239939750,0,0,0,0
14.240548167,1,0,0,0
14.241064000,0,0,0,0
14.241699917,1,0,0,0
14.242188083,0,0,0,0
14.242829833,1,0,0,0
14.243312917,0,0,0,0
14.243948833,1,0,0,0
14.245560583,0,0,0,0
14.246165500,1,0,0,0
14.247808250,0,0,0,0
14.248447000,1,0,0,0
14.250055917,0,0,0,0
14.250663417,1,0,0,0
14.251180083,0,0,0,0
14.251815167,1,0,0,0
14.253427750,0,0,0,0
14.254031417,1,0,0,0
14.255675417,0,0,0,0
14.256280500,1,0,0,0
14.257923083,0,0,0,0
14.258529500,1,0,0,0
14.260171417,0,0,0,0
14.260778333,1,0,0,0
14.300577500,0,0,0,0
14.309581000,1,0,0,0
14.311802333,0,0,0,0
14.312405833,1,0,0,0
14.408289333,0,0,0,0
14.417301833,1,0,0,0
14.419514167,0,0,0,0
14.420126750,1,0,0,0
15.333823333,0,0,0,0
15.342829667,1,0,0,0
15.347291250,0,0,0,0
15.347903333,1,0,0,0
15.348415167,0,0,0,0
15.349022250,1,0,0,0
15.349539333,0,0,0,0
15.350152250,1,0,0,0
15.350663500,0,0,0,0
15.351271167,1,0,0,0
15.351787667,0,0,0,0
15.352401083,1,0,0,0
15.352911833,0,0,0,0
15.353520167,1,0,0,0
15.354036000,0,0,0,0
15.354639250,1,0,0,0
15.356283667,0,0,0,0
15.356888167,1,0,0,0
15.357408500,0,0,0,0
15.358018083,1,0,0,0
15.359656083,0,0,0,0
